Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
George Mason,Atlantic 10,85,85,107,149,19-11,9-9,10-2,5-7,127,231,1-2,4-3,5-6,9-0,
Minnesota,Big Ten,86,86,88,130,18-13,9-11,9-2,2-8,79,361,1-8,5-3,3-2,9-0,
Yale,Ivy League,87,87,134,167,18-9,11-3,7-6,9-6,131,91,0-3,2-2,9-2,7-2,
Cornell,Ivy League,88,88,176,190,20-6,11-3,9-3,10-5,159,189,0-2,1-3,8-0,11-1,
Penn St.,Big Ten,89,89,46,108,15-16,9-11,6-5,2-8,63,289,2-8,4-5,4-2,5-1,
Ole Miss,SEC,90,90,58,112,20-11,7-11,13-0,4-7,67,326,2-7,3-4,9-0,6-0,
Southern California,Pac-12,91,91,22,98,14-17,8-12,6-5,3-9,58,51,2-8,4-6,4-2,4-1,
LSU,SEC,92,92,72,118,17-14,9-9,8-5,3-7,52,148,4-7,1-6,5-0,7-1,
Indiana,Big Ten,93,93,13,94,18-13,10-10,8-3,4-6,22,122,3-8,5-4,4-1,6-0,
Louisiana Tech,CUSA,94,94,179,191,19-9,12-4,7-5,8-7,190,99,0-3,1-2,6-4,12-0,
Florida St.,ACC,95,95,16,95,16-15,10-10,6-5,4-7,59,129,1-8,7-4,4-2,4-1,
Boston College,ACC,96,96,75,119,17-14,8-12,9-2,6-6,84,234,1-5,4-7,5-2,7-0,
Saint Joseph's,Atlantic 10,97,97,123,162,19-12,9-9,10-3,3-9,113,212,1-3,2-5,4-3,12-1,
Duquesne,Atlantic 10,98,98,85,128,19-11,10-8,9-3,5-6,99,179,0-3,6-5,3-3,10-0,
Col. of Charleston,CAA,99,100,199,198,25-7,17-3,8-4,10-2,269,257,0-1,1-2,10-4,14-0,
Miami (FL),ACC,100,99,62,113,15-16,6-14,9-2,2-9,54,159,2-8,5-4,2-3,6-1,
Georgia,SEC,101,101,35,104,16-15,6-12,10-3,4-6,62,250,1-7,2-8,7-0,6-0,
Rutgers,Big Ten,102,102,28,100,15-16,7-13,8-3,3-9,16,150,2-12,4-2,2-2,7-0,
Vermont,America East,103,103,224,206,24-6,16-1,8-5,10-4,273,184,0-2,2-0,8-3,14-1,
Santa Clara,WCC,104,104,134,167,19-13,11-7,8-6,5-6,95,108,2-6,4-3,2-1,11-3,
Charlotte,AAC,105,105,106,148,18-11,13-5,5-6,5-7,126,118,0-4,3-2,6-5,9-0,
Morehead St.,OVC,106,106,321,242,22-8,17-4,5-4,9-7,262,26,0-2,0-2,3-2,19-2,
UNI,MVC,107,108,100,139,18-14,13-9,5-5,6-8,98,49,0-6,5-3,6-4,7-1,
Arkansas,SEC,108,109,25,99,15-16,6-12,9-4,2-7,45,137,2-9,1-5,7-1,5-1,
High Point,Big South,109,110,270,221,23-8,14-4,9-4,7-5,351,341,0-0,0-1,7-5,16-2,
Western Caro.,SoCon,110,111,179,191,19-10,11-8,8-2,10-6,254,312,0-1,2-3,5-6,12-0,
Hofstra,CAA,111,107,155,184,19-13,13-7,6-6,5-10,162,71,0-3,1-3,8-5,10-2,
UAB,AAC,112,112,96,135,19-11,12-6,7-5,7-5,105,199,0-4,7-3,6-2,6-2,
Akron,MAC,113,114,208,200,19-10,13-5,6-5,7-6,204,57,0-4,1-2,5-2,13-2,
Stanford,Pac-12,114,113,62,113,13-17,8-12,5-5,3-8,81,263,1-6,4-4,4-6,4-1,
UCLA,Pac-12,115,115,55,111,14-16,10-10,4-6,5-6,64,65,1-9,6-2,2-4,5-1,
Southern Ill.,MVC,116,116,127,164,18-13,11-10,7-3,5-6,151,352,1-3,0-5,6-4,11-1,
Belmont,MVC,117,117,117,155,19-13,13-9,6-4,6-9,122,156,0-6,2-1,6-6,11-0,
UNCW,CAA,118,118,192,196,18-10,12-7,6-3,10-6,211,117,1-0,1-3,5-5,11-2,
Davidson,Atlantic 10,119,119,93,133,13-16,5-13,8-3,4-8,94,134,0-5,3-4,4-6,6-1,
